Path,Lcdate,LC3,Ldec,Lmass,Acdate,Atof,TOF,Avinf,Adec,EPprop,EPMassFracLaunch,Neng,P0
367,20250430,55.107403,-15.499207,1828.7745,20350501,3652.5,10,8.8763385,67.833734,227.5,0.124400247,2,25
367,20250430,54.246829,-15.033471,1871.0501,20360430,4017.75,11,7.4857262,68.030964,231.2,0.123566975,2,25
367,20260514,54.921541,-11.54582,1837.8612,20370514,4017.75,11,6.6259435,70.096543,230.2,0.12525429,2,25
367,20260515,56.668574,-12.034577,1753.3872,20350515,3287.25,9,9.4178516,69.043779,222.2,0.126726145,2,25
367,20260515,55.650982,-11.738936,1802.3363,20360514,3652.5,10,7.8605282,69.488418,225.1,0.124893451,2,25
367,20260514,54.904931,-11.497556,1838.6745,20370514,4017.75,11,6.6259994,70.096153,229.9,0.125035725,2,25
367,20260518,61.940541,-12.782392,1510.7,20330517,2556.75,7,13.923296,68.714774,190.2,0.1259019,2,25
367,20260516,58.465288,-12.404911,1668.657,20340516,2922,8,11.393512,68.77216,213.3,0.127827349,2,25
367,20260515,56.761606,-12.058834,1748.947,20350515,3287.25,9,9.416589,69.043407,219.1,0.12527538,2,25
367,20260514,55.664477,-11.77724,1801.6826,20360514,3652.5,10,7.8612347,69.490288,225.9,0.125382795,2,25
367,20260515,55.034446,-11.450094,1832.3385,20370514,4017.75,11,6.6251942,70.09531,226.1,0.123394231,2,25
367,20260517,61.368795,-12.864767,1536.164,20330517,2556.75,7,13.930873,68.717557,202.5,0.131821863,2,25
367,20260516,58.445046,-12.432757,1669.5998,20340516,2922,8,11.394954,68.773725,214.4,0.128414007,2,25
367,20260515,56.755117,-12.037856,1749.2566,20350515,3287.25,9,9.4165289,69.043068,218.7,0.125024539,2,25
367,20260515,55.703739,-11.709963,1799.7812,20360514,3652.5,10,7.8600533,69.487595,223,0.12390395,2,25
367,20270529,56.128965,-7.0108225,1779.2561,20380528,4017.75,11,5.9749515,73.172072,221.2,0.12432162,2,25
367,20270601,61.827037,-7.7161627,1515.7391,20340601,2556.75,7,12.528342,70.11228,200.2,0.132080778,2,25
367,20270530,59.163906,-7.5363584,1636.2847,20350530,2922,8,10.197366,70.69126,210.8,0.128828437,2,25
367,20270529,57.611457,-7.3588176,1708.6552,20360528,3287.25,9,8.4219242,71.389909,217.6,0.127351615,2,25
367,20270528,56.481712,-7.2233232,1762.323,20370528,3652.5,10,7.0511954,72.213245,228.2,0.129488181,2,25
367,20260515,55.039719,-11.469194,1832.0808,20370514,4017.75,11,6.6254339,70.096113,225.9,0.123302422,2,25
367,20270601,61.623775,-7.7439303,1524.7829,20340531,2556.75,7,12.528703,70.111076,204.6,0.134183037,2,25
367,20270530,58.993386,-7.5513023,1644.157,20350530,2922,8,10.201011,70.695254,217,0.13198253,2,25
367,20270529,57.604026,-7.3148515,1709.0054,20360528,3287.25,9,8.4226376,71.390225,218.4,0.127793628,2,25
367,20280611,57.959452,-2.0118171,1692.2952,20380611,3652.5,10,6.497231,75.710231,220,0.13000096,2,25
367,20280610,57.14285,-1.943502,1730.8124,20390611,4017.75,11,5.5658145,76.867689,223.8,0.129303442,2,25
367,20280614,62.717901,-2.0381042,1476.4008,20350615,2556.75,7,11.352976,72.7255,199.5,0.135125909,2,25
367,20280612,60.308497,-2.0662229,1583.9262,20360612,2922,8,9.2648722,73.642361,209.8,0.132455666,2,25
367,20280611,58.908501,-2.0112989,1648.0828,20370612,3287.25,9,7.6978995,74.634696,216.9,0.131607465,2,25
367,20280611,57.85784,-1.9675836,1697.0639,20380611,3652.5,10,6.4958721,75.704143,220.8,0.130107063,2,25
367,20280610,57.101079,-1.9283662,1732.7945,20390611,4017.75,11,5.5665004,76.868669,225.5,0.130136609,2,25
